id,playtime_forever
0,0
1,0.01
2,0
3,0
4,0.03
5,0.01
6,0
7,0
8,0
9,0
10,0.02
11,0
12,0
13,0.01
14,0
15,1.66
16,0.6
17,0.1
18,0
19,0
20,0
21,25.56
22,0
23,0
24,0.36
25,0.13
26,0
27,0.01
28,0
29,0
30,0.01
31,0
32,0
33,0
34,14.83
35,0
36,17.33
37,0.61
38,0
39,0
40,0.01
41,0.01
42,1.36
43,0
44,0
45,0
46,0.05
47,0.01
48,0
49,2.29
50,0.06
51,0.01
52,0
53,0
54,0.03
55,0
56,0
57,0
58,0.02
59,0.01
60,0
61,0
62,0
63,5.64
64,0
65,0
66,0.79
67,0
68,0
69,0.76
70,0.95
71,0
72,0.31
73,0
74,0
75,0.09
76,0.01
77,0.07
78,0
79,0.9
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,19.46
89,0.22
