id,playtime_forever
0,10.5834
1,7.2832
2,0
3,0
4,29.3604
5,0
6,0
7,0
8,16.8424
9,13.7698
10,22.191
11,1.8208
12,9.4454
13,9.5592
14,5.4624
15,0
16,12.1766
17,0
18,0
19,0
20,3.7554
21,2.1622
22,0
23,0.6828
24,0
25,2.7312
26,0
27,0
28,9.7868
29,3.3002
30,12.6318
31,110.4696
32,0
33,1.5932
34,0.7966
35,0
36,0
37,3.414
38,6.9418
39,0
40,5.0072
41,0
42,10.1282
43,3.983
44,5.9176
45,11.0386
46,2.276
47,10.242
48,0
49,0
50,23.1014
51,0
52,8.6488
53,0.3414
54,0
55,0
56,5.3486
57,8.6488
58,0
59,0
60,0.1138
61,4.0968
62,2.845
63,9.104
64,5.8038
65,3.983
66,0
67,10.242
68,8.1936
69,0
70,2.7312
71,1.3656
72,0
73,2.845
74,7.397
75,19.1184
76,7.966
77,0
78,9.2178
79,0
80,14.225
81,0.2276
82,5.3486
83,9.2178
84,13.7698
85,0
86,0
87,4.7796
88,4.2106
89,11.6076
