id,playtime_forever
0,3.265659003
1,4.788992726
2,0.212330766
3,1.169762228
4,7.583518315
5,1.970344528
6,2.043783372
7,1.098402053
8,8.263093132
9,5.471850561
10,6.135537525
11,0.99184432
12,7.77032126
13,1.43360754
14,2.55164527
15,1.816555501
16,6.027923486
17,0
18,2.678506767
19,6.247005491
20,1.24999978
21,3.834465327
22,0.874222553
23,0.744721393
24,0
25,1.213344602
26,1.17191192
27,0.489107913
28,3.719686099
29,5.114018602
30,4.389321118
31,3.961783409
32,0.580987467
33,0.519144274
34,2.943774872
35,1.646972981
36,0
37,7.78578088
38,3.789412917
39,1.559673449
40,2.993605918
41,0
42,6.83167031
43,1.803131076
44,2.824049969
45,6.937314854
46,4.868627503
47,0.838228621
48,0
49,4.016253656
50,6.394742582
51,1.196535672
52,2.619551691
53,3.25340636
54,1.08390656
55,1.765069631
56,1.150608049
57,7.197191262
58,0.949704059
59,2.12746375
60,5.295127648
61,3.53167825
62,1.264651716
63,6.026190419
64,1.255757501
65,1.789743087
66,0
67,2.387322041
68,3.986344567
69,0
70,2.365125446
71,2.22577286
72,2.167319705
73,6.896040833
74,1.984997218
75,9.928826574
76,4.37970394
77,0.932887451
78,3.298451118
79,0
80,6.625383579
81,1.377750844
82,1.081462179
83,6.549667869
84,7.437642244
85,0
86,2.928635827
87,4.466297288
88,4.246559999
89,3.901346744
