id,playtime_forever
0,3.3002
1,4.7796
2,0.2276
3,1.138
4,7.6246
5,1.9346
6,2.0484
7,1.138
8,8.3074
9,5.4624
10,6.1452
11,1.0242
12,7.7384
13,1.4794
14,2.5036
15,1.8208
16,6.0314
17,0
18,2.7312
19,6.259
20,1.2518
21,3.8692
22,0.9104
23,0.7966
24,0
25,1.2518
26,1.138
27,0.4552
28,3.7554
29,5.121
30,4.4382
31,110
32,0.569
33,0.569
34,2.9588
35,1.5932
36,0
37,7.7384
38,3.7554
39,1.5932
40,2.9588
41,0
42,6.828
43,1.8208
44,2.845
45,6.9418
46,4.8934
47,0.7966
48,0
49,3.983
50,6.3728
51,1.2518
52,2.6174
53,3.3002
54,1.138
55,1.8208
56,1.138
57,7.1694
58,0.9104
59,2.1622
60,5.3486
61,3.5278
62,1.2518
63,6.0314
64,1.2518
65,1.8208
66,0
67,2.3898
68,3.983
69,0
70,2.3898
71,2.276
72,2.1622
73,6.9418
74,1.9346
75,9.9006
76,4.3244
77,0.9104
78,3.3002
79,0
80,6.6004
81,1.3656
82,1.138
83,6.6004
84,7.397
85,0
86,2.9588
87,4.4382
88,4.2106
89,3.8692
